class,alias,section,option,units,default,dependencies
mvMax5.costGrid.GridElectricityCostPerYear,gr_el,system (grid),electricity cost per year,dollars per year,None,mvMax5.costGrid.GridElectricityCostPerKilowattHour;mvMax5.demand.ProjectedNodalDemandPerYear;mvMax5.costGrid.DistributionLoss
mvMax5.costGrid.LowVoltageLineEquipmentOperationsAndMaintenanceCostPerYear,gr_le_om,system (grid),low voltage line equipment operations and maintenance cost per year,dollars per year,None,mvMax5.costDistribution.LowVoltageLineEquipmentOperationsAndMaintenanceCostPerYearAsFractionOfEquipmentCost;mvMax5.costGrid.LowVoltageLineEquipmentCost
mvMax5.costGrid.GridMediumVoltageLineCostPerMeter,gr_ml_cm,system (grid),medium voltage line cost per meter,dollars per meter,20,
mvMax5.costGrid.GridExternalSystemRecurringCostPerMeterPerYear,ge_recm,system (grid),external system recurring cost per meter per year,dollars per meter per year,None,mvMax5.costGrid.GridMediumVoltageLineOperationsAndMaintenanceCostPerMeterPerYear;mvMax5.costGrid.GridMediumVoltageLineReplacementCostPerMeterPerYear
mvMax5.finance.ElectricityDemandMultiplier,demf,finance,electricity demand multiplier,,None,mvMax5.finance.ElectricityDemandGrowthRatePerYear;mvMax5.finance.TimeHorizon
mvMax5.demand.HouseholdDemandCurve,ho_dc,demand (household),demand curve,,None,mvMax5.demand.HouseholdDemandCurveType;mvMax5.demand.HouseholdDemandCurvePoints
mvMax5.demand.HouseholdUnitDemandPerHouseholdPerYear,ho_dc_unit,demand (household),household unit demand per household per year,kilowatt-hours per year,0,
mvMax5.demographics.ProjectedPopulationCount,p_pop,demographics,projected population count,person count,None,mvMax5.demographics.ProjectedPopulationCounts
mvMax5.demand.TargetHouseholdCount,ct_hh_t,demand (household),target household count,households,None,mvMax5.demand.TargetHouseholdPenetrationRate;mvMax5.demographics.ProjectedHouseholdCount
mvMax5.demand.ProductiveDemandCurve,pr_dc,demand (productive),demand curve,,None,mvMax5.demand.ProductiveDemandCurveType;mvMax5.demand.ProductiveDemandCurvePoints
mvMax5.demand.ProductiveUnitDemandPerHouseholdPerYear,pr_dc_unit,demand (productive),productive unit demand per household per year,kilowatt-hours per year,0,
mvMax5.demand.SocialInfrastructureDemandCurve,so_dc,demand (social infrastructure),demand curve,,None,mvMax5.demand.SocialInfrastructureDemandCurveType;mvMax5.demand.SocialInfrastructureDemandCurvePoints
mvMax5.demand.HealthFacilityUnitDemandPerHealthFacilityPerYear,he_dc_unit,demand (social infrastructure),health facility unit demand per health facility per year,kilowatt-hours per year,0,
mvMax5.demand.ProjectedHealthFacilityCount,p_he,demand (social infrastructure),projected health facility count,health facility count,None,mvMax5.demand.HealthFacilityCountCurve;mvMax5.demographics.ProjectedPopulationCount
